,STATION_ID,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,LATITUDE,LONGITUDE,OBJECTID,starting_at_avg_ride_duration,count_rides_starting_at,count_of_member_rides_starting_at,ending_at_avg_ride_duration,count_rides_ending_at,count_of_member_rides_ending_at,station_name,weight
199,082485e8-1f3f-11e7-bf6b-3863bb334450,7,0,7,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.916137,-77.022003,172453853,0 days 00:16:14.427348,11789,8161,0 days 00:12:19.020899,11771,7935,7th St & Florida Ave NW,27584.0
200,7814989b-dc73-4a7e-bd23-f716b9abbbfe,2,9,2,0,5,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,38.89222,-76.99602,172453710,0 days 00:14:02.490070,6999,5008,0 days 00:11:58.526678,6541,4972,7th St & Massachusetts Ave NE,16035.0
201,08256ac9-1f3f-11e7-bf6b-3863bb334450,4,0,9,1,1,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.894851,-77.02324,172451768,0 days 00:22:48.646306,8906,5471,0 days 00:20:14.064886,10110,5799,8th & D St NW,21833.5
202,082553a7-1f3f-11e7-bf6b-3863bb334450,5,0,6,2,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,38.889988,-76.995193,172453998,0 days 00:15:27.534084,6572,4555,0 days 00:16:12.165677,6567,4484,8th & East Capitol St NE,15398.75
203,08249671-1f3f-11e7-bf6b-3863bb334450,3,0,8,2,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,38.8792,-76.9953,172453786,0 days 00:18:57.978118,5941,3996,0 days 00:14:15.716512,6032,3969,8th & Eye St SE / Barracks Row,13964.25
204,082554fb-1f3f-11e7-bf6b-3863bb334450,11,4,6,1,2,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,38.897274,-76.994749,172453806,0 days 00:12:26.475589,12822,9807,0 days 00:13:52.050437,12828,9926,8th & F St NE,30583.25
205,fbbeab20-556d-4275-98a9-f84d316c157f,8,0,9,1,2,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,38.899942,-76.994897,172451673,0 days 00:17:31.106224,9640,6980,0 days 00:13:17.329600,10088,6775,8th & H St NE,23166.75
206,0824b9cc-1f3f-11e7-bf6b-3863bb334450,11,0,22,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,33,38.8997,-77.023086,172453807,0 days 00:21:22.138394,21605,14200,0 days 00:19:11.987156,23746,14970,8th & H St NW,52643.5
207,3d88e01e-e071-4638-829c-543410cded50,11,0,4,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,38.902732,-76.99515,172453961,0 days 00:14:52.669908,7301,5172,0 days 00:12:47.593674,7430,5413,8th & K St NE,17377.25
208,08260549-1f3f-11e7-bf6b-3863bb334450,8,0,9,2,2,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,38.90864,-77.02277,172453960,0 days 00:13:34.072757,28877,20443,0 days 00:12:53.039699,28691,19962,8th & O St NW,67669.25
209,3900eddf-b06d-4763-af70-1126603508d0,6,0,13,1,0,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,38.917716,-77.022684,172453851,0 days 00:14:05.613802,16186,11238,0 days 00:11:33.660721,15866,10884,8th & V St NW,37582.5
