X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0494385822381,38.8882657114217,Lincoln Memorial,classic,08254284-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:48+00,22,0,1,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,25,"KEY,CREDITCARD",42,DCA-CABI,,38.888255,-77.049437,2024/04/01 01:52:28+00,172451663
-76.997234009712,38.9388939925463,John McCormack Rd NE,classic,8bbafd08-edb1-426d-94f4-c7b7d9be34dd,,2024/04/01 01:49:47+00,1,0,18,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.938889,-76.997226,2024/04/01 01:52:28+00,172451664
-77.0895616034862,38.8423259266696,S Arlington Mill Dr & Campbell Ave,classic,08254dee-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:50+00,10,0,5,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.84232,-77.089555,2024/04/01 01:52:28+00,172451665
-77.3403764477456,38.9514515279823,W&OD Trail/Sunset Hills Rd & Isaac Newton Sq,classic,08263fbd-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:51+00,5,0,6,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,DCA-CABI,,38.951443,-77.340377,2024/04/01 01:52:28+00,172451666
-77.3597231365606,38.9536997349713,Reston Town Center Metro North,classic,e823318f-8406-4230-8072-1667f5de78d4,,2024/04/01 01:49:51+00,17,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",104,DCA-CABI,,38.953691,-77.359717,2024/04/01 01:52:28+00,172451667
-77.0686237506844,38.9657815960674,Broad Branch Rd & Northampton St NW,classic,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,,2024/04/01 01:49:53+00,4,0,15,5,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.965775,-77.068626,2024/04/01 01:52:28+00,172451668
-77.3563310691994,38.9605834802193,New Dominion Pkwy & Fountain Dr,classic,08263959-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:49:53+00,12,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",104,DCA-CABI,,38.960574,-77.356324,2024/04/01 01:52:28+00,172451669
-77.002236360431,38.8237397743188,Livingston Rd & 3rd St SE,classic,d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,,2024/04/01 01:49:52+00,8,0,7,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.82373,-77.00223,2024/04/01 01:52:28+00,172451670
-77.3418208429094,38.9832106093878,North Village and Park Garden,classic,c0ec45a3-ec59-4c82-9671-13d9c122be30,,2024/04/01 01:49:52+00,5,0,7,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.983199,-77.341823,2024/04/01 01:52:28+00,172451671
-77.0221932167093,38.8972914466804,7th & F St NW / National Portrait Gallery,classic,0824c772-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:02+00,31,0,3,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,35,"KEY,CREDITCARD",42,DCA-CABI,,38.897283,-77.022191,2024/04/01 01:52:28+00,172451672
-76.994895296586,38.8999509106989,8th & H St NE,classic,fbbeab20-556d-4275-98a9-f84d316c157f,,2024/04/01 01:50:02+00,8,0,9,1,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.899942,-76.994897,2024/04/01 01:52:28+00,172451673
-77.0494417713798,38.7930734033675,Mt Vernon Trail & S. Washington St.,classic,8d8a3add-40b4-41ba-bffe-5a754ebc1625,,2024/04/01 01:50:02+00,5,0,9,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.793065,-77.049436,2024/04/01 01:52:28+00,172451674
-77.080590450225,38.9461899836221,Yuma St & Tenley Circle NW,classic,0826139b-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:03+00,19,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.946182,-77.08059,2024/04/01 01:52:28+00,172451675
-77.0031377315963,38.894978362806,2nd St & Massachusetts Ave NE,classic,08261e7a-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:05+00,17,0,5,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.894972,-77.003135,2024/04/01 01:52:28+00,172451676
-77.3458816581364,38.9305179662576,Soapstone Dr Convenience Center,classic,85c2fb24-d241-4550-8968-2cdf85462af7,,2024/04/01 01:50:05+00,4,0,8,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.93051,-77.345874,2024/04/01 01:52:28+00,172451677
-77.0136636892482,38.9025806634802,New Jersey Ave & K St NW,classic,082624fc-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:05+00,20,0,1,1,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.902571,-77.013667,2024/04/01 01:52:28+00,172451678
